Project Number,Cleaned Project Number,HDP_ID,HDP Title,Duplicate HDP_ID
R61DK135406,1R61DK135406-01,HDP00904,PAINED: Project Addressing INequities in the Emergency Department,
1R61AT013008-01,,HDP01446,Quantitative Assessment of Pelvic Floor Muscle Fitness in Myofascial Pelvic Pain,
4R33NS129050-02,,NA,,
1UG3NS139014-01,,HDP01373,An innovative device for management of neuropathic pain after spinal cord injury,
1UG3NS138882-01,,HDP01474,Developing AI-Driven Pain Intensity and Pain Sensitization Biomarker Signatures to Optimize Neonatal Pain Management,
1R01AT013603-01,,NA,,
1R01AR086796-01,,NA,,
1R01HL183579-01,,NA,,
1UC2AR086503-01,,NA,Biopsychosocial determinants of pediatric-onset chronic musculoskeletal pain,
1UG3NS140971,1UG3NS140971-01,HDP01526,Gastric Electrical Stimulation for Pain in Gastroparesis,
1K23AT013838-01,,NA,Feasibility Trial of a Remotely-Delivered Mindfulness-Based Intervention for Adolescents with Migraine,
5UG3NS115637-04,1UG3NS115637-01,HDP00325,Clinical Translation of Ultrasonic Ketamine Uncaging for Non-Opioid Therapy of Chronic Pain,
UG3NS137282,,NA,,
1RM1NS140316-0,1RM1NS140316-01,NA,Cannabis Use Impact on Pain and Recovery Post-Surgery - The Role of the Endocannabinoid System,
UG3NS145209-01,,NA,,
1R01DE035179-01,,HDP01574,Targeting Succinate Signaling for Innovative Pain Relief in Oral Cancer.,
UC2AR086516,,NA,Leveraging a National Pediatric Health Learning System for Phenotyping Pediatric Chronic Primary Pain to Advance Timely Patient-Centered Care,
1RF1NS142103-01A1,,NA,MODEL-pain MOdeling Diverse Experiences and Longitudinal trajectories of pain,
NIH R01HL178882-01,,NA,Modeling Inter-individual Differences to Address Pain of Sickle cell disease (MIDAS),
1R01HD117068-01A1,,NA,Understanding vulvodynia: Using machine-learning-based modeling to identify factors associated with resolution and persistence of vulvar pain,
1UG3NS143758-01,,NA,Patient-centered Development of a Composite Digital Endpoint of Mobility and Pain for Knee Osteoarthritis,
1UC2AR086243-01,,NA,Whole person experience of pain: Novel integration with low back pain phenotypes,
1UG3AT013497-01,,NA,A Pragmatic Trial of Emotional Awareness and Expression Therapy for Veterans with Chronic Pain,
1ZIAAT000037-06,,NA,General Studies of Chronic Pain,
UC2AR086182,,NA,,
