project_number,hdp_id,project_title,crf_name,heal_crf_id,source,input_path
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,Pain Intensity (choice=BPI Pain Severity),HEALCDE:bpi-pain-severity,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,Pain Interference (choice=BPI Pain Interference (Copyrighted)),HEALCDE:bpi-pain-interference,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,Pain Stages of Change Questionnaire Adolescent SF - PSOCQ 13A,HEALCDE:psocq-a,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,Pain Visual Analogue Scale - VAS,HEALCDE:pain-visual-analogue-scale,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,Parent Psychological Flexibility in Pain Questionnaire SF - PPFQ 10,HEALCDE:ppfq-10,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,Pediatric Anxiety SF 8a [PROMIS],HEALCDE:promis-pediatric-anxiety-sf,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,Pediatric Depressive Symptoms SF 8a [PROMIS],HEALCDE:promis-pediatric-depressive-symptoms-8a,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,Pediatric Fatigue Sf 10a [PROMIS],HEALCDE:promis-pediatric-fatigue-10a,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,PedsQL Inventory Age Range(s) (choice=13-18 year old),HEALCDE:pedsql-sickle-cell-parent-report-ages-13-18,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,PedsQL Inventory Age Range(s) (choice=2-4 year old),HEALCDE:pedsql-sickle-cell-parent-report-ages-2-4,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,PedsQL Inventory Age Range(s) (choice=5-7 year old),HEALCDE:pedsql-sickle-cell-child-report-ages-5-7,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,PedsQL Inventory Age Range(s) (choice=8-12 year old),HEALCDE:pedsql-sickle-cell-parent-report-ages-8-12,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,Sleep (choice=AWS-10 + Sleep Duration Items),HEALCDE:sleep-asws,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114926-01,HDP00253,SPRINT: Signature for Pain Recovery IN Teens,Substance Abuser Screener (choice=NIDA Modified Assist Tool-2),HEALCDE:nida-modified-assist,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113258-01A1,HDP00033,Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,Cancer Emotional Distress Depression Item bank [PROMIS],HEALCDE:promis-emotional-distress-depression-item-bank,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113258-01A1,HDP00033,Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,Demographics (choice=Adult Demographics),HEALCDE:adult-demographics,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113258-01A1,HDP00033,Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,GAD (choice=Generalized Anxiety Disorder (GAD) - 7 item*),HEALCDE:generalized-anxiety-disorder-7,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113258-01A1,HDP00033,Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,Global Satisfaction with Treatment (choice=PGIC),HEALCDE:pgic,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113258-01A1,HDP00033,Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,Microbiome Study Bristol Stool Chart,HEALCDE:microbiome-bristol-stool-chart,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113258-01A1,HDP00033,Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,PHQ (choice=Patient Health Questionnaire (PHQ) - 8 item*),HEALCDE:patient-health-questionnaire-8,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113258-01A1,HDP00033,Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,Pain Intensity (choice=BPI Pain Severity (for acute pain)),HEALCDE:bpi-pain-severity,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113258-01A1,HDP00033,Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,Pain Intensity 1a [PROMIS],HEALCDE:promis-pain-intensity-1a,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113258-01A1,HDP00033,Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,Pain Interference (choice=BPI Pain Interference (Copyrighted) (for acute pain)),HEALCDE:bpi-pain-interference,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113258-01A1,HDP00033,Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,Pain Interference CAT [PROMIS],HEALCDE:promis-pain-interference-cat,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113258-01A1,HDP00033,Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,Physical Function CAT [PROMIS],HEALCDE:promis-physical-functional-cat,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113258-01A1,HDP00033,Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,Physical Functioning/QOL (choice=PROMIS Physical Functioning Short Form 6b),HEALCDE:physical-function-6b,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113258-01A1,HDP00033,Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,Sleep (choice=PROMIS Sleep Disturbance 6a),HEALCDE:sleep-disturbance-6a,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113258-01A1,HDP00033,Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,Sleep (choice=Sleep Duration Question),HEALCDE:sleep-duration,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113258-01A1,HDP00033,Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,Substance Use Screener (choice=TAPS 1),HEALCDE:taps-1,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113329-01,HDP00337,Discovery of Biomarker Signatures Prognostic for Neuropathic Pain after Acute Spinal Cord Injury,Demographics (choice=Adult Demographics),HEALCDE:adult-demographics,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113329-01,HDP00337,Discovery of Biomarker Signatures Prognostic for Neuropathic Pain after Acute Spinal Cord Injury,GAD (choice=Generalized Anxiety Disorder (GAD) - 7 item*),HEALCDE:generalized-anxiety-disorder-7,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113329-01,HDP00337,Discovery of Biomarker Signatures Prognostic for Neuropathic Pain after Acute Spinal Cord Injury,Glasgow Coma Scale- GCS,HEALCDE:gcs,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113329-01,HDP00337,Discovery of Biomarker Signatures Prognostic for Neuropathic Pain after Acute Spinal Cord Injury,Global Satisfaction with Treatment (choice=PGIC),HEALCDE:pgic,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113329-01,HDP00337,Discovery of Biomarker Signatures Prognostic for Neuropathic Pain after Acute Spinal Cord Injury,PHQ (choice=Patient Health Questionnaire (PHQ) - 9 item*),HEALCDE:patient-health-questionnaire-9,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113329-01,HDP00337,Discovery of Biomarker Signatures Prognostic for Neuropathic Pain after Acute Spinal Cord Injury,Pain Intensity (choice=PEG (for chronic pain)),HEALCDE:peg,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113329-01,HDP00337,Discovery of Biomarker Signatures Prognostic for Neuropathic Pain after Acute Spinal Cord Injury,Pain Interference (choice=PEG (for chronic pain)),HEALCDE:peg,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113329-01,HDP00337,Discovery of Biomarker Signatures Prognostic for Neuropathic Pain after Acute Spinal Cord Injury,Physical Functioning/QOL (choice=PROMIS Physical Functioning Short Form 6b),HEALCDE:physical-function-6b,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113329-01,HDP00337,Discovery of Biomarker Signatures Prognostic for Neuropathic Pain after Acute Spinal Cord Injury,Pittsburgh Sleep Quality Index - PSQI,HEALCDE:psqi,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113329-01,HDP00337,Discovery of Biomarker Signatures Prognostic for Neuropathic Pain after Acute Spinal Cord Injury,Sleep (choice=PROMIS Sleep Disturbance 6a),HEALCDE:sleep-disturbance-6a,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113329-01,HDP00337,Discovery of Biomarker Signatures Prognostic for Neuropathic Pain after Acute Spinal Cord Injury,Sleep (choice=Sleep Duration Question),HEALCDE:sleep-duration,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113329-01,HDP00337,Discovery of Biomarker Signatures Prognostic for Neuropathic Pain after Acute Spinal Cord Injury,Spinal Cord Independence Measure - SCIM,HEALCDE:scim,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113329-01,HDP00337,Discovery of Biomarker Signatures Prognostic for Neuropathic Pain after Acute Spinal Cord Injury,Substance Use Screener (choice=TAPS 1),HEALCDE:taps-1,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114954-01,HDP00111,The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Bank v1.0 Pain Behavior [PROMIS],HEALCDE:promis-pain-behavior-item-bank-v1.0,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114954-01,HDP00111,The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Demographics (choice=Adult Demographics),HEALCDE:adult-demographics,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114954-01,HDP00111,The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Global Health [PROMIS],HEALCDE:promis-global-health-scale,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114954-01,HDP00111,The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Global Satisfaction with Treatment (choice=PGIC),HEALCDE:pgic,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114954-01,HDP00111,The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Neuropathic Pain Quality 5a [PROMIS],HEALCDE:promis-neuropathic-pain-quality-5a,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114954-01,HDP00111,The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Nociceptive Pain Quality 5a [PROMIS],HEALCDE:promis-nociceptive-pain-quality-5a,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114954-01,HDP00111,The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Pain Episode Frequency and Severity Measure- ASCQ ME v2.0,HEALCDE:ascq-me-pain-episode-frequency-and-severity,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114954-01,HDP00111,The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Pain Impact- ASCQ ME v2.0,HEALCDE:ascq-pain-impact,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114954-01,HDP00111,The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Pain Intensity (choice=BPI Pain Severity (for acute pain)),HEALCDE:bpi-pain-severity,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114954-01,HDP00111,The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Pain Intensity 1a [PROMIS],HEALCDE:promis-pain-intensity-1a,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114954-01,HDP00111,The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Pain Interference (choice=BPI Pain Interference (Copyrighted) (for acute pain)),HEALCDE:bpi-pain-interference,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114954-01,HDP00111,The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Pain Interference CAT [PROMIS],HEALCDE:promis-pain-interference-cat,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114954-01,HDP00111,The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Physical Functioning/QOL (choice=PROMIS Physical Functioning Short Form 6b),HEALCDE:physical-function-6b,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114954-01,HDP00111,The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Sleep (choice=PROMIS Sleep Disturbance 6a),HEALCDE:sleep-disturbance-6a,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114954-01,HDP00111,The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Sleep (choice=Sleep Duration Question),HEALCDE:sleep-duration,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS114954-01,HDP00111,The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Substance Use Screener (choice=TAPS 1),HEALCDE:taps-1,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
4R33NS113341-02,NA,Discovery of the Biomarker Signature for Neuropathic Corneal Pain,Demographics (choice=Adult Demographics),HEALCDE:adult-demographics,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
4R33NS113341-02,NA,Discovery of the Biomarker Signature for Neuropathic Corneal Pain,GAD (choice=Generalized Anxiety Disorder (GAD) - 2 item),HEALCDE:gad2,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
4R33NS113341-02,NA,Discovery of the Biomarker Signature for Neuropathic Corneal Pain,Global Satisfaction with Treatment (choice=PGIC),HEALCDE:pgic,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
4R33NS113341-02,NA,Discovery of the Biomarker Signature for Neuropathic Corneal Pain,PHQ (choice=Patient Health Questionnaire (PHQ) - 2 item),HEALCDE:phq2,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
4R33NS113341-02,NA,Discovery of the Biomarker Signature for Neuropathic Corneal Pain,Pain Intensity (choice=PEG (for chronic pain)),HEALCDE:peg,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
4R33NS113341-02,NA,Discovery of the Biomarker Signature for Neuropathic Corneal Pain,Pain Interference (choice=PEG (for chronic pain)),HEALCDE:peg,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
4R33NS113341-02,NA,Discovery of the Biomarker Signature for Neuropathic Corneal Pain,Physical Functioning/QOL (choice=PROMIS Physical Functioning Short Form 6b),HEALCDE:physical-function-6b,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
4R33NS113341-02,NA,Discovery of the Biomarker Signature for Neuropathic Corneal Pain,Sleep (choice=PROMIS Sleep Disturbance 6a),HEALCDE:sleep-disturbance-6a,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
4R33NS113341-02,NA,Discovery of the Biomarker Signature for Neuropathic Corneal Pain,Sleep (choice=Sleep Duration Question),HEALCDE:sleep-duration,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
4R33NS113341-02,NA,Discovery of the Biomarker Signature for Neuropathic Corneal Pain,Substance Use Screener (choice=TAPS 1),HEALCDE:taps-1,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113315-01,HDP00369,Biomarker Signature to Predict the Persistence of Post-Traumatic Headache,Allodynia Symptom Checklist Ictal 12- ASC- 12,HEALCDE:asc12-ictal,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113315-01,HDP00369,Biomarker Signature to Predict the Persistence of Post-Traumatic Headache,Allodynia Symptom Checklist Interictal 12- ASC 12,HEALCDE:asc12-interictal,mappings/study-crf-mappings/from-heal-cde-team/crf-heal-cde-ids.csv,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
1R61NS113315-01,HDP00369,Biomarker Signature to Predict the Persistence of Post-Traumatic Headache,Demographics (choice=Adult Demographics),HEALCDE:adult-demographics,Internal header_crf_mappings column mappings,mappings/study-crf-mappings/from-heal-cde-team/HEALCommonDataElemen_DATA_LABELS_2025-02-07_1028.csv
